windows,win_rate,rw_spd_pct,score,mean_pct,uniform_rw_spd_pct,mean_excess,min_excess,regime,start,end,selection_metric,label,arm,hgbr_depth,a_pos,a_neg,combine,cond_gain
2007,81.91330343796712,52.01178244693074,66.96254294244892,43.94551088329495,44.1534515035299,4.804449160339103,-4.885107407525439,D,2018-01-01,2024-06-30,62.92940716063103,B: families avg a+=2.0 a-=1.0,B,2.0,2.0,1.0,avg,
2007,71.10114598903836,66.17963300589592,68.64038949746714,52.21392589561617,44.1534515035299,13.072864172660326,-19.770466057477442,D,2018-01-01,2024-06-30,61.657535942327264,A: all-v3 H30+90 depth=3 a+=3.0 a-=1.0,A,3.0,3.0,1.0,,
2007,77.82760338814151,56.04245426015474,66.93502882414813,45.137818697037915,44.1534515035299,5.996756974082065,-2.4416968729448953,D,2018-01-01,2024-06-30,61.48271104258971,B: families gate a+=3.0 a-=1.0,B,2.0,3.0,1.0,gate,
2007,72.19730941704036,61.69076303144578,66.94403622424306,50.24337915288946,44.1534515035299,11.102317429933612,-10.509048150501279,D,2018-01-01,2024-06-30,61.22034428496491,A: all-v3 H90 depth=3 a+=3.0 a-=1.0,A,3.0,3.0,1.0,,
2007,70.75236671649228,56.94904417002361,63.850705443257944,50.07848374032699,44.1534515035299,10.937422017371139,-19.962189505845792,D,2018-01-01,2024-06-30,60.41542522840963,A: all-v3 H30+90 depth=3 a+=2.0 a-=1.0,A,3.0,2.0,1.0,,
2007,72.04783258594918,54.35265772343911,63.200245154694144,48.33586024023027,44.1534515035299,9.194798517274425,-7.57384926730073,D,2018-01-01,2024-06-30,60.19184641308972,A: all-v3 H90 depth=3 a+=2.0 a-=1.0,A,3.0,2.0,1.0,,
2007,70.802192326856,54.83863458666432,62.820413456760164,49.410365410420646,44.1534515035299,10.269303687464799,-20.472748138587093,D,2018-01-01,2024-06-30,60.10627886863833,A: all-v3 H30+90 depth=2 a+=3.0 a-=1.0,A,2.0,3.0,1.0,,
2007,69.55655206776284,56.13367369608601,62.84511288192442,50.14884051524544,44.1534515035299,11.007778792289598,-19.957812834815726,D,2018-01-01,2024-06-30,59.85269629150414,A: all-v3 H30+90 depth=3 a+=2.0 a-=2.0,A,3.0,2.0,2.0,,
2007,71.05132037867465,50.81810825612173,60.93471431739819,47.940736140096575,44.1534515035299,8.799674417140732,-16.39307588944614,D,2018-01-01,2024-06-30,59.49602825938561,A: all-v3 H30+90 depth=2 a+=2.0 a-=1.0,A,2.0,2.0,1.0,,
2007,74.09068261086198,51.31712187174645,62.70390224130421,44.6212142539058,44.1534515035299,5.480152530949958,-7.060219272158896,D,2018-01-01,2024-06-30,59.35594843238388,B: families avg a+=2.0 a-=2.0,B,2.0,2.0,2.0,avg,
2007,74.4892874937718,51.2313218198,62.8603046567859,43.221862657275224,44.1534515035299,4.080800934319373,-2.384000343504283,D,2018-01-01,2024-06-30,58.85557507552351,B: families gate a+=2.0 a-=1.0,B,2.0,2.0,1.0,gate,
2007,69.70602889885402,50.07608210597236,59.89105550241319,47.60717093793194,44.1534515035299,8.466109214976084,-17.126945149513794,D,2018-01-01,2024-06-30,58.65659991839298,A: all-v3 H30+90 depth=2 a+=2.0 a-=2.0,A,2.0,2.0,2.0,,
2007,69.30742401594419,54.62505575731749,61.966239886630845,46.47323198573385,44.1534515035299,7.332170262778001,-10.68619159462001,D,2018-01-01,2024-06-30,57.89032800083902,A: all-v3 H90 depth=2 a+=2.0 a-=1.0,A,2.0,2.0,1.0,,
2007,65.91928251121077,53.6474424572287,59.78336248421974,48.885340446405756,44.1534515035299,9.744278723449911,-12.498907323219218,D,2018-01-01,2024-06-30,57.40231147880826,A: all-v3 H90 depth=3 a+=2.0 a-=2.0,A,3.0,2.0,2.0,,
2007,64.72346786248131,60.2434807302486,62.48347429636496,48.349557529397956,44.1534515035299,9.208495806442112,-10.779949974215047,D,2018-01-01,2024-06-30,56.536512695939635,A: all-v3 H90 depth=2 a+=3.0 a-=1.0,A,2.0,3.0,1.0,,
2007,64.37468858993523,54.08758984688751,59.23113921841137,46.08372787638355,44.1534515035299,6.942666153427702,-16.424053985335576,D,2018-01-01,2024-06-30,55.22920823315939,A: all-v3 H90 depth=2 a+=2.0 a-=2.0,A,2.0,2.0,2.0,,
2007,64.22521175884405,50.9893187098387,57.60726523434138,43.94579051116483,44.1534515035299,4.804728788208982,-4.514177144759408,D,2018-01-01,2024-06-30,54.08550113500444,B: families gate a+=2.0 a-=2.0,B,2.0,2.0,2.0,gate,
