[ 55/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 1.0, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 3.0} -> win 71.75 meanpct 44.29 sel 58.02 (381s)
[ 56/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 1.0, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 5.0} -> win 71.80 meanpct 45.57 sel 58.68 (388s)
[ 57/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 1.0, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 3.0} -> win 71.80 meanpct 44.41 sel 58.11 (394s)
[ 58/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 1.0, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 5.0} -> win 71.75 meanpct 45.65 sel 58.70 (401s)
[ 59/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 1.0, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 3.0} -> win 71.90 meanpct 44.64 sel 58.27 (408s)
[ 60/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 1.0, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 5.0} -> win 71.70 meanpct 46.01 sel 58.85 (415s)
[ 61/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 2.0, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 3.0} -> win 67.12 meanpct 44.29 sel 55.70 (422s)
[ 62/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 2.0, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 5.0} -> win 65.82 meanpct 45.53 sel 55.67 (429s)
[ 63/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 2.0, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 3.0} -> win 69.91 meanpct 44.43 sel 57.17 (436s)
[ 64/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 2.0, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 5.0} -> win 68.51 meanpct 45.62 sel 57.06 (443s)
[ 65/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 2.0, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 3.0} -> win 70.05 meanpct 44.58 sel 57.31 (450s)
[ 66/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 2.0, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 5.0} -> win 68.71 meanpct 46.01 sel 57.36 (457s)
[ 67/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 2.0, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 3.0} -> win 70.05 meanpct 44.72 sel 57.38 (464s)
