windows,win_rate,rw_spd_pct,score,mean_pct,uniform_rw_spd_pct,mean_excess,min_excess,selection_metric,active_terms,a_ma,a_dd,a_mvrv,a_flow,bias,m_max
2007,72.44643746885899,56.314114327772934,64.38027589831596,44.7200574391077,44.1534515035299,5.5789957161518595,-14.462997091451783,58.58324745398335,3,0.0,0.0,1.0,0.15,0.2,3.0
2007,73.59242650722472,47.53027984334146,60.56135317528309,43.530167294120524,44.1534515035299,4.389105571164679,-17.07319197920917,58.561296900672616,4,1.0,0.5,0.5,0.3,0.0,3.0
2007,72.49626307922273,57.33623276752767,64.9162479233752,44.580320378542424,44.1534515035299,5.439258655586577,-13.066767727642102,58.53829172888258,2,0.0,0.0,1.0,0.0,0.2,5.0
2007,72.34678624813155,52.364568714595585,62.35567748136357,44.71864854725569,44.1534515035299,5.577586824299852,-17.848764765525523,58.53271739769362,4,0.0,0.5,0.5,0.3,0.2,5.0
2007,72.6457399103139,53.858901623152086,63.25232076673299,44.37476508668806,44.1534515035299,5.233703363732216,-18.919065742672075,58.51025249850098,5,1.0,0.5,0.5,0.15,0.2,5.0
2007,72.54608868958645,57.418716265256165,64.98240247742132,44.47176834903731,44.1534515035299,5.330706626081473,-20.796925956401893,58.50892851931188,5,1.0,0.5,1.0,0.3,0.2,3.0
2007,71.44992526158445,51.92782167982463,61.68887347070454,45.5409954628842,44.1534515035299,6.399933739928355,-19.943498802309755,58.495460362234326,4,1.0,0.5,1.0,0.3,0.0,5.0
2007,73.99103139013454,47.19192513830667,60.591478264220605,42.9695675000167,44.1534515035299,3.8285057770608555,-9.767071998013364,58.480299445075616,3,1.0,0.0,0.5,0.15,0.0,5.0
2007,72.49626307922273,50.52468926994096,61.51047617458184,44.454931953640184,44.1534515035299,5.313870230684337,-15.288092773482681,58.475597516431456,3,1.0,0.0,1.0,0.3,0.0,3.0
2007,73.99103139013454,47.191925138279565,60.591478264207055,42.94182279145584,44.1534515035299,3.8007610685000017,-9.767071998013364,58.46642709079519,3,1.0,0.0,0.5,0.15,0.0,3.0
2007,73.7419033383159,49.25690968980366,61.49940651405978,43.18764810372962,44.1534515035299,4.046586380773779,-18.163814482405616,58.46477572102276,3,0.0,1.0,0.5,0.15,0.0,3.0
2007,71.74887892376681,53.37521874485606,62.56204883431144,45.17565127501361,44.1534515035299,6.034589552057763,-23.274325393111475,58.46226509939021,4,1.0,1.0,1.0,0.3,0.0,5.0
2007,72.04783258594918,59.31984622471033,65.68383940532976,44.86115217067694,44.1534515035299,5.7200904477210885,-20.697188289408228,58.45449237831306,4,1.0,0.5,1.0,0.0,0.2,5.0
2007,72.59591429995017,56.898252278549954,64.74708328925006,44.28477383971918,44.1534515035299,5.14371211676333,-17.06186515079563,58.44034406983467,4,1.0,0.0,1.0,0.15,0.2,3.0
2007,72.84504235176881,49.80208259239649,61.32356247208265,43.99845767861254,44.1534515035299,4.857395955656696,-20.43040080631496,58.421750015190675,4,1.0,1.0,0.5,0.15,0.0,5.0
2007,72.89486796213254,51.06228697676243,61.97857746944749,43.90941599052507,44.1534515035299,4.768354267569226,-12.121734641123599,58.40214197632881,3,0.0,0.0,0.5,0.3,0.2,3.0
2007,72.39661185849526,57.33623276439733,64.8664223114463,44.37276512009631,44.1534515035299,5.231703397140467,-13.101885880456308,58.38468848929578,2,0.0,0.0,1.0,0.0,0.2,3.0
2007,71.6990533134031,52.260263006269184,61.97965815983614,45.05313493199207,44.1534515035299,5.91207320903622,-16.44557647693008,58.37609412269758,3,0.0,0.5,1.0,0.15,0.0,5.0
2007,73.34329845540609,48.851265870752364,61.09728216307923,43.39262641972226,44.1534515035299,4.251564696766413,-20.059274695490025,58.367962437564174,4,1.0,1.0,0.5,0.3,0.0,3.0
2007,72.69556552067763,53.314436580021415,63.00500105034952,43.99796501419269,44.1534515035299,4.856903291236841,-16.44738503057264,58.34676526743516,4,0.0,0.5,0.5,0.15,0.2,5.0
2007,72.99451918285999,54.30015915827579,63.64733917056789,43.69096319497642,44.1534515035299,4.549901472020576,-20.468496619068777,58.342741188918204,4,1.0,1.0,1.0,0.15,0.0,3.0
2007,72.59591429995017,47.00560541655163,59.8007598582509,44.011699346489024,44.1534515035299,4.870637623533178,-14.41187642888394,58.303806823219595,3,0.0,0.5,0.5,0.3,0.0,5.0
2007,69.60637767812655,64.97035256679195,67.28836512245925,46.986480526313,44.1534515035299,7.845418803357158,-21.161010691908977,58.296429102219776,3,0.0,0.0,2.0,0.3,0.2,5.0
2007,73.04434479322371,48.29907693772914,60.67171086547643,43.5232651220003,44.1534515035299,4.382203399044464,-18.962538205262682,58.283804957612006,3,0.0,1.0,0.5,0.3,0.0,3.0
2007,71.79870453413054,54.3001606621098,63.04943259812017,44.75493496266103,44.1534515035299,5.613873239705185,-22.46390398925257,58.27681974839578,4,1.0,1.0,1.0,0.15,0.0,5.0
2007,72.44643746885899,58.32075711428879,65.38359729157389,44.09321201301201,44.1534515035299,4.952150290056171,-20.35179294053745,58.2698247409355,5,1.0,0.5,1.0,0.15,0.2,3.0
2007,71.898355754858,56.80073339245828,64.34954457365814,44.63811641862902,44.1534515035299,5.4970546956731745,-19.45225678936354,58.268236086743514,4,0.0,0.5,1.0,0.3,0.2,3.0
2007,72.69556552067763,52.91761882144721,62.80659217106242,43.840678796436066,44.1534515035299,4.6996170734802165,-19.30196276339152,58.26812215855685,5,1.0,0.5,0.5,0.3,0.2,3.0
2007,72.34678624813155,51.4474664116189,61.89712632987522,44.163463930380594,44.1534515035299,5.022402207424749,-13.928938776177525,58.25512508925607,3,1.0,0.0,1.0,0.15,0.0,3.0
2007,73.09417040358744,45.7601120218112,59.427141212699325,43.32528546287122,44.1534515035299,4.184223739915377,-7.923837747224404,58.20972793322933,2,0.0,0.0,0.5,0.3,0.0,5.0
2007,73.24364723467862,47.95519495905058,60.5994210968646,43.16262558700239,44.1534515035299,4.021563864046549,-12.808552511418206,58.2031364108405,3,0.0,0.5,0.5,0.15,0.0,5.0
2007,72.44643746885899,57.908012789725,65.177225129292,43.92945036167001,44.1534515035299,4.788388638714155,-16.131214169864872,58.1879439152645,3,1.0,0.0,1.0,0.0,0.2,3.0
2007,72.59591429995017,53.31443657869529,62.95517543932273,43.72160412204349,44.1534515035299,4.5805423990876495,-16.454822616599436,58.15875921099683,4,0.0,0.5,0.5,0.15,0.2,3.0
2007,71.5495764823119,61.900039075210785,66.72480777876135,44.765013214047094,44.1534515035299,5.623951491091251,-22.859878937631347,58.157294848179504,4,1.0,1.0,2.0,0.3,0.0,3.0
2007,71.25062282012955,52.852965703040724,62.05179426158514,45.05989750531053,44.1534515035299,5.918835782354686,-18.821957833828293,58.15526016272004,4,1.0,0.5,1.0,0.15,0.0,5.0
2007,72.94469357249626,50.88025639222332,61.9124749823598,43.35837256129593,44.1534515035299,4.217310838340087,-19.358224885530724,58.15153306689609,3,1.0,1.0,0.5,0.0,0.0,5.0
2007,70.85201793721974,52.74692618672473,61.79947206197224,45.427940661383744,44.1534515035299,6.286878938427907,-21.79772955327012,58.13997929930174,3,0.0,1.0,1.0,0.3,0.0,5.0
2007,73.19382162431491,47.95519495885217,60.57450829158354,43.0770772823592,44.1534515035299,3.93601555940336,-12.808552511418206,58.13544945333705,3,0.0,0.5,0.5,0.15,0.0,3.0
2007,69.8555057299452,67.12276276319264,68.48913424656891,46.410611918138585,44.1534515035299,7.2695501951827435,-25.038648565521257,58.13305882404189,5,1.0,0.5,2.0,0.3,0.2,5.0
2007,70.85201793721974,63.67667487699448,67.26434640710711,45.3884028513364,44.1534515035299,6.247341128380558,-19.16118963520815,58.120210394278075,3,0.0,0.0,2.0,0.3,0.2,3.0
2007,69.95515695067265,68.58630805313581,69.27073250190423,46.26788914026022,44.1534515035299,7.126827417304376,-28.48642043556616,58.111523045466434,5,1.0,1.0,2.0,0.3,0.2,5.0
