windows,win_rate,rw_spd_pct,score,mean_pct,uniform_rw_spd_pct,mean_excess,min_excess,selection_metric,a_mvrv,a_flow,mvrv0
2007,77.97708021923269,48.23986268445119,63.108471451841936,44.017439614180084,44.1534515035299,4.8763778912242435,-9.262269445024483,60.99725991670638,0.75,0.225,1.8
2007,75.58545092177378,55.53875163652992,65.56210127915185,46.232879846526394,44.1534515035299,7.091818123570555,-14.622144754354636,60.909165384150086,1.5,0.15,1.8
2007,77.57847533632287,51.389000542182785,64.48373793925282,44.21257986466078,44.1534515035299,5.07151814170494,-9.871534193277775,60.895527600491825,1.0,0.075,1.8
2007,76.3328350772297,53.65662788519126,64.99473148121048,45.15661666858681,44.1534515035299,6.015554945630967,-11.989598274120493,60.744725872908255,1.25,0.075,1.8
2007,75.0373692077728,56.02402302869036,65.53069611823157,45.941458598629325,44.1534515035299,6.800396875673479,-13.964081456273764,60.48941390320106,1.5,0.075,1.8
2007,76.1335326357748,47.78593099488466,61.95973181532973,44.48238456916704,44.1534515035299,5.341322846211194,-10.12914366105624,60.30795860247092,0.75,0.3,1.8
2007,75.28649725959143,45.555658927194614,60.42107809339302,43.789701374715406,44.1534515035299,4.648639651759566,-6.4133357043703825,59.53809931715342,1.0,0.15,1.6
2007,72.69556552067763,55.394760424788686,64.04516297273315,46.03510663873165,44.1534515035299,6.894044915775801,-15.914683877009377,59.36533607970464,1.0,0.3,2.0
2007,71.74887892376681,59.065263850221854,65.40707138699433,46.70822273038419,44.1534515035299,7.567161007428351,-18.22384580104575,59.2285508270755,1.25,0.3,2.0
2007,72.6457399103139,55.841825127517275,64.2437825189156,45.71604473096443,44.1534515035299,6.5749830080085845,-15.175819845346865,59.18089232063917,1.0,0.225,2.0
2007,73.54260089686099,52.27270701107064,62.90765395396582,44.65580561510202,44.1534515035299,5.514743892146176,-12.316130858411384,59.09920325598151,0.75,0.225,2.0
2007,71.6990533134031,59.495278075442656,65.59716569442287,46.48576010423993,44.1534515035299,7.344698381284085,-17.593767067192612,59.092406708821514,1.25,0.225,2.0
2007,72.69556552067763,56.31411433766996,64.5048399291738,45.38035201535219,44.1534515035299,6.2392902923963405,-14.451013523557332,59.03795876801491,1.0,0.15,2.0
2007,72.89486796213254,51.81646576185443,62.355666861993484,45.05853643339759,44.1534515035299,5.917474710441749,-13.14939632311907,58.976702197765064,0.75,0.3,2.0
2007,73.29347284504234,46.42085539358801,59.85716411931518,44.635008018970545,44.1534515035299,5.4939462960146965,-7.688489752277164,58.96424043200645,1.25,0.15,1.6
2007,72.44643746885899,47.3737895476952,59.91011350827709,45.38536871086965,44.1534515035299,6.244306987913808,-8.953850534900166,58.915903089864315,1.5,0.15,1.6
2007,71.59940209267563,59.94718672745936,65.77329441006749,46.211701850848776,44.1534515035299,7.070640127892937,-16.97231824562686,58.90555197176221,1.25,0.15,2.0
2007,73.54260089686099,52.757214151094566,63.149907523977774,44.21626904311261,44.1534515035299,5.075207320156764,-11.521697037951572,58.879434969986804,0.75,0.15,2.0
2007,72.69556552067763,56.81212265189991,64.75384408628878,44.974165629545475,44.1534515035299,5.833103906589634,-13.745417942849851,58.83486557511155,1.0,0.075,2.0
2007,71.6990533134031,60.4212450191985,66.0601491663008,45.92616866556119,44.1534515035299,6.785106942605356,-16.36344286757176,58.812610989482145,1.25,0.075,2.0
2007,70.75236671649228,62.74971591731668,66.75104131690448,46.859421091278826,44.1534515035299,7.718359368322982,-20.127774630158846,58.80589390388555,1.5,0.3,2.0
2007,73.69207772795217,53.27072631406049,63.48140202100633,43.79720868087782,44.1534515035299,4.656146957921983,-10.76301929618825,58.744643204415,0.75,0.075,2.0
2007,70.70254110612855,63.15426596991835,66.92840353802345,46.69823345572933,44.1534515035299,7.557171732773485,-19.5604766698005,58.700387280928936,1.5,0.225,2.0
2007,70.65271549576482,63.57709568274162,67.11490558925323,46.50424434316346,44.1534515035299,7.363182620207607,-19.017379029974723,58.578479919464144,1.5,0.15,2.0
2007,70.70254110612855,64.01829595848695,67.36041853230775,46.27124610053489,44.1534515035299,7.1301843775790426,-18.521287708171187,58.48689360333172,1.5,0.075,2.0
2007,72.54608868958645,46.91122943887591,59.72865906423118,44.19936363246939,44.1534515035299,5.058301909513547,-6.957494229626224,58.37272616102793,1.25,0.075,1.6
2007,71.5495764823119,47.85511242103899,59.702344451675444,44.94872913305688,44.1534515035299,5.80766741010103,-8.200860410993691,58.249152807684396,1.5,0.075,1.6
2007,73.09417040358744,46.05379652672714,59.57398346515729,43.35721566784065,44.1534515035299,4.216153944884803,-5.861120032850547,58.225693035714045,1.0,0.075,1.6
2007,73.9412057797708,45.290740877322015,59.6159733285464,42.45211161109338,44.1534515035299,3.31104988813754,-4.645418950851216,58.19665869543209,0.75,0.075,1.6
