[ 53/72] {'a_ma': 1.0, 'a_dd': 1.0, 'bias': 0.0, 'a_mvrv': 1.0, 'm_max': 3.0} -> win 71.65 meanpct 43.44 sel 57.54 (1560s)
[ 54/72] {'a_ma': 1.0, 'a_dd': 1.0, 'bias': 0.0, 'a_mvrv': 1.0, 'm_max': 5.0} -> win 70.60 meanpct 44.31 sel 57.46 (1569s)
[ 55/72] {'a_ma': 1.0, 'a_dd': 1.0, 'bias': 0.2, 'a_mvrv': 0.0, 'm_max': 3.0} -> win 69.36 meanpct 42.07 sel 55.71 (1578s)
[ 56/72] {'a_ma': 1.0, 'a_dd': 1.0, 'bias': 0.2, 'a_mvrv': 0.0, 'm_max': 5.0} -> win 69.51 meanpct 42.30 sel 55.90 (1587s)
[ 57/72] {'a_ma': 1.0, 'a_dd': 1.0, 'bias': 0.2, 'a_mvrv': 0.5, 'm_max': 3.0} -> win 70.40 meanpct 43.16 sel 56.78 (1596s)
[ 58/72] {'a_ma': 1.0, 'a_dd': 1.0, 'bias': 0.2, 'a_mvrv': 0.5, 'm_max': 5.0} -> win 70.05 meanpct 43.92 sel 56.99 (1605s)
[ 59/72] {'a_ma': 1.0, 'a_dd': 1.0, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 3.0} -> win 70.95 meanpct 43.82 sel 57.38 (1614s)
[ 60/72] {'a_ma': 1.0, 'a_dd': 1.0, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 5.0} -> win 69.86 meanpct 44.62 sel 57.24 (1623s)
[ 61/72] {'a_ma': 1.0, 'a_dd': 2.0, 'bias': 0.0, 'a_mvrv': 0.0, 'm_max': 3.0} -> win 70.00 meanpct 42.07 sel 56.04 (1632s)
[ 62/72] {'a_ma': 1.0, 'a_dd': 2.0, 'bias': 0.0, 'a_mvrv': 0.0, 'm_max': 5.0} -> win 68.86 meanpct 42.47 sel 55.67 (1641s)
[ 63/72] {'a_ma': 1.0, 'a_dd': 2.0, 'bias': 0.0, 'a_mvrv': 0.5, 'm_max': 3.0} -> win 70.55 meanpct 42.86 sel 56.71 (1650s)
[ 64/72] {'a_ma': 1.0, 'a_dd': 2.0, 'bias': 0.0, 'a_mvrv': 0.5, 'm_max': 5.0} -> win 69.26 meanpct 43.58 sel 56.42 (1659s)
[ 65/72] {'a_ma': 1.0, 'a_dd': 2.0, 'bias': 0.0, 'a_mvrv': 1.0, 'm_max': 3.0} -> win 70.80 meanpct 43.44 sel 57.12 (1669s)
[ 66/72] {'a_ma': 1.0, 'a_dd': 2.0, 'bias': 0.0, 'a_mvrv': 1.0, 'm_max': 5.0} -> win 69.76 meanpct 44.50 sel 57.13 (1678s)
[ 67/72] {'a_ma': 1.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 0.0, 'm_max': 3.0} -> win 68.11 meanpct 42.57 sel 55.34 (1687s)
[ 68/72] {'a_ma': 1.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 0.0, 'm_max': 5.0} -> win 66.87 meanpct 43.12 sel 54.99 (1695s)
[ 69/72] {'a_ma': 1.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 0.5, 'm_max': 3.0} -> win 68.31 meanpct 43.23 sel 55.77 (1704s)
[ 70/72] {'a_ma': 1.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 0.5, 'm_max': 5.0} -> win 67.41 meanpct 44.23 sel 55.82 (1712s)
[ 71/72] {'a_ma': 1.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 3.0} -> win 68.46 meanpct 43.80 sel 56.13 (1720s)
[ 72/72] {'a_ma': 1.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 5.0} -> win 67.51 meanpct 44.92 sel 56.22 (1729s)

CHOSEN: {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 5.0} 
 {'windows': 2007.0, 'win_rate': 72.04783258594918, 'rw_spd_pct': 59.31984622471033, 'score': 65.68383940532976, 'mean_pct': 44.861165812432816, 'uniform_rw_spd_pct': 44.1534515035299, 'mean_excess': 5.720104089476966, 'min_excess': -20.697136890648796, 'selection_metric': 58.454499199191, 'active_terms': 4.0, 'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 5.0}
