time,AdrActCnt,AdrBalCnt,BlkCnt,CapMVRVCur,CapMrktCurUSD,FeeTotNtv,HashRate,IssTotNtv,PriceUSD,TxCnt,TxTfrCnt,FlowInExNtv,FlowInExUSD,FlowOutExNtv,FlowOutExUSD,IssTotUSD,ROI1yr,ROI30d,SplyCur,SplyExNtv,volume_reported_spot_usd_1d
2023-03-16,879957,44887284,134,1.264318230866,483820966773.28314,33.35299825,290105693.8312686,837.5,25043.2388468732,295146,824750,27156.61708586,680089647.9542696,27663.54320344,692784719.7945436,20973712.534256306,-39.07016726383349,12.693596971684162,19319424.68510582,2864728.91990152,19514577683.3104
2023-03-17,1085422,44931953,147,1.381709504388,530355563505.5659,43.16289184,318250273.50944453,918.75,27450.6282933957,339244,951188,51334.51758241,1409166363.636579,36531.93305666,1002825655.8450296,25220264.744557295,-32.99236216184392,12.944107823765163,19320343.33921469,2879531.50442727,31289099128.6445
2023-03-18,955447,44959449,162,1.357927080335,521401004462.55426,34.22495221,350724792.35971373,1012.5,26985.7359915254,293458,823196,23464.47769396,633206200.2282413,19915.29052107,537428772.1961232,27323057.691419467,-35.48113349633076,13.660289124022167,19321355.72015879,2883080.69160016,19399308264.8227
2023-03-19,845573,45012607,148,1.41718434858,544602429934.9583,28.41228189,320415243.0954912,925.0,28185.2043319696,271293,747881,28107.50883579,792215879.7993821,17382.28182208,489923164.9112056,26071314.00707188,-33.199591341919856,14.5398461005136,19322280.70872038,2893805.91861387,19458023272.3305
2023-03-20,1014355,45014488,154,1.398348824456,537849646186.5744,29.31887864,333405048.1415559,962.5,27834.3361090006,337263,874328,35304.36136468,982673460.3381182,32453.90354388,903332859.2894416,26790548.50491308,-32.59590150713948,12.979952679448465,19323243.20868762,2896656.37643467,24549077847.1777
2023-03-21,990544,45052294,145,1.413889214116,544415302326.4737,29.69900996,313920337.4549051,906.25,28172.7950558153,331907,880525,26837.26598239,756080794.3802772,28013.25943967,789211817.0392063,25531595.519332614,-31.39367745467191,15.61868813646208,19324149.4586494,2895480.38297739,20790263207.9498
2023-03-22,940276,45127006,159,1.371700451034,528379507078.967,35.43585315,344229889.8366814,993.75,27341.5571297487,296448,819958,34451.01525636,941944401.8096111,38264.06446249,1046199104.5175571,27170672.397687767,-35.48958834320803,10.257803834461509,19325143.20861664,2891667.33377126,18964688511.8051
2023-03-23,902932,45206674,183,1.421886913625,548632503448.67126,38.85922915,398970829.72571325,1143.75,28387.8897495617,292159,808903,28853.28648156,819083915.5510443,25837.28227962,733465920.7821566,32468648.901061196,-33.57102806202644,16.34195379436483,19326286.95858388,2894683.3379732,12478653274.6678
2023-03-24,893101,45317468,162,1.375231386162,530807367185.91296,44.41177294,377232885.4931153,1012.5,27464.1249453536,294570,840147,21002.11914699,576804824.3701365,25937.75334923,712357698.7850165,27807426.50717052,-37.54547181832183,13.658424164449738,19327299.45855112,2889747.70377096,15655049466.013
2023-03-25,898042,45346628,145,1.376280144651,531312174636.28394,30.02596854,337646717.00662136,906.25,27488.954880187,287422,788901,13496.30227721,370999244.3475908,13354.08828679,367089930.381604,24911865.360169467,-38.01399501297805,14.968279168026053,19328205.7085129,2889889.91776138,5117311428.10001
2023-03-26,851151,45390966,144,1.403671575252,542169657055.9983,22.08619822,335318120.43832463,900.0,28049.3916911163,266890,728626,11698.91972245,328147581.65792567,11377.42895754,319129961.2678885,25244452.52200467,-36.99587203561728,21.02866955066005,19329105.70847468,2890211.40852629,5389478867.1464
2023-03-27,1057595,45331325,148,1.357098415255,524906913723.9932,24.65912588,344632513.417874,925.0,27154.9963702513,295339,814057,19144.78203352,519876486.62948793,23622.11109522,641458341.048372,25118371.64248245,-41.94822882953973,17.250486905430474,19330030.70842007,2885734.07946459,8067988947.04281
2023-03-28,982699,45314960,134,1.363066939643,527422700745.3335,26.77974016,312032141.34263265,837.5,27283.9634029807,317587,820463,27001.06489327,736696066.3894856,28634.98515738,781275887.0788513,22850319.349996336,-42.22394555366748,15.8943660191632,19330868.20838185,2884100.15920048,7758064510.15467
2023-03-29,977852,45353795,147,1.417071461284,548815740560.0656,27.22157982,342303913.49639606,918.75,28389.2917784921,328588,862563,22901.70327066,650163136.3752136,26713.95359787,758390223.2470303,26082661.821489617,-40.18737268613555,20.783964397813843,19331786.95834363,2880287.90887327,9545801607.78093
2023-03-30,1021839,45383687,155,1.420441511641,541733941198.0574,27.69532638,360932699.4554946,968.75,28021.5583009936,331354,903224,28795.77141156,806902387.4311132,42352.4519473,1186781701.4312968,27145884.60408755,-40.53565858716201,21.064632719921363,19332755.70826653,2866731.22833753,11059525124.5831
2023-03-31,1043754,45414397,141,1.443820674085,551292496354.6884,33.43660245,328332327.38025326,881.25,28514.6813062537,308895,907374,23080.61607114,658136411.6205544,23624.19129467,673636285.885488,25128562.901136074,-37.41593990044037,20.770374080623277,19333636.95822831,2866187.653114,8674259530.29281
2023-04-01,1038858,45389585,140,1.442211549223,550928486203.3832,30.71648204,326003727.45877534,875.0,28494.5638863238,316521,876720,13348.66237283,380364312.7795711,11991.93994792,341705098.9669649,24932743.400533322,-38.39058010522312,21.40832104624444,19334511.95818462,2867544.37553891,4152773641.06812
2023-04-02,1012005,45318909,149,1.425206305097,544524713657.5736,24.14681689,346961109.9861707,931.25,28161.9980362361,342161,861466,10781.57359269,303630654.3448708,10112.98506078,284801865.42217135,26225860.671244867,-38.69816943137141,26.003922941960425,19335443.2081464,2868212.96407082,4247446898.51221
2023-04-03,985157,45340879,131,1.409099995135,538533843979.47015,28.41745704,305046344.9313801,818.75,27850.9799436002,336905,872351,19684.31284835,548227402.3429476,18392.76219094,512256450.887278,22802989.828822665,-40.02873861420261,24.700565138034868,19336261.95810817,2869504.51472823,8815840109.3989
2023-04-04,1108155,45349062,162,1.4219430768,543647331979.0974,33.1947129,377232885.4931153,1012.5,28113.9585187025,419443,1055774,14688.99412705,412965771.56934834,15616.80337831,439050162.3725404,28465383.00018628,-39.7510747229046,25.39780473798817,19337274.45807541,2868576.70547697,6270156545.43499
2023-04-05,964688,45435833,139,1.424960408187,545148282923.0317,32.47502967,323675130.8904786,868.75,28190.3116063705,345029,916214,21707.43554116,611939372.0805023,17637.97552745,497220026.22435254,24490333.208034366,-38.30501395201881,25.76705219756583,19338143.20803173,2872646.16549068,7183935480.08034
2023-04-06,1022873,45475960,160,1.41726242259,542445068149.4137,32.29154074,375586794.88083017,1000.0,28049.0744763296,352346,941395,15662.65433743,439322958.0075809,13131.46354111,368325398.8478012,28049074.4763296,-35.228922403394776,26.491630796654867,19339143.20799351,2875177.356287,4985264573.38122
2023-04-07,956362,45574609,142,1.411891341659,540298652289.0736,26.9726815,338032941.7856073,887.5,27936.8042609585,351639,938498,12900.60749482,360401746.43024045,13188.82970105,368453753.7893497,24793913.78160067,-35.879239791286,28.73281934135592,19340030.70795529,2874889.13408077,3177935904.6864
2023-04-08,885739,45672242,147,1.413111240664,540851301862.0266,22.02735161,349935509.40998685,918.75,27964.0512498539,325340,859533,10117.98603186,282939879.9402389,10941.97136199,305981847.94112206,25691972.08580327,-33.7691119188158,37.4167400828516,19340949.45791706,2874065.14875064,2575794168.39842
2023-04-09,936112,45552243,146,1.432780320048,548492793650.62,17.05816287,347554997.25628686,912.5,28357.8072703098,277152,710289,8549.12348736,242434396.18463367,7111.14358674,201656439.30427247,25876499.134157687,-33.55870113621973,40.10492821689814,19341861.9578843,2875503.12865126,3864343192.26336
2023-04-10,947327,45540886,123,1.498410626119,574235609982.3527,22.0618439,292803183.44178885,768.75,29687.5651846873,292988,769790,20709.86003495,614825319.7533284,17996.52517634,534273014.2704599,22822315.73572836,-29.757619515856582,44.21776653178989,19342630.70784062,2878216.46350987,7859290892.84022
2023-04-11,1146146,45488781,154,1.524007596955,585087519181.1974,30.45382908,366599104.7697063,962.5,30247.0959193454,375758,948069,25104.2267225,759329953.6564515,24336.00251844,736093402.4686859,29112829.822369948,-23.51032607587929,37.07569693290327,19343593.2078024,2878984.68771393,8967191913.21541
2023-04-12,1056542,45481614,160,1.506773205338,578654885226.6572,25.31904837,380882187.97572565,1000.0,29913.0035463472,344791,897154,33129.14562108,990992250.4508189,22051.04485502,659612982.9488744,29913003.5463472,-25.39722223438348,23.840656424099315,19344593.20776964,2890062.78847999,8374453806.38746
