window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2018-01-13 → 2019-01-13,7026.801947562095,31396.444360089477,15409.65302451156,18148.884395247536,34.39874469655821,45.639087596821106,11.240342900262895
2018-01-14 → 2019-01-14,7309.372233038978,31396.444360089477,15464.964100450088,18104.965639971684,33.858792900994125,44.819035497506285,10.96024259651216
2018-01-15 → 2019-01-15,7357.43343237105,31396.444360089477,15521.285148390121,18219.38183768492,33.9608469773008,45.18467268879765,11.22382571149685
2018-01-16 → 2019-01-16,7831.832029555435,31396.444360089477,15576.93143254672,18261.84325929359,32.86750188949855,44.26133170976626,11.393829820267712
2018-01-17 → 2019-01-17,7831.832029555435,31396.444360089477,15628.088379484641,18292.404523274152,33.08459413875926,44.39102306030446,11.306428921545205
2018-01-18 → 2019-01-18,7831.832029555435,31396.444360089477,15679.302430922477,18366.75147575697,33.3019287196107,44.70652560895655,11.404596889345846
2018-01-19 → 2019-01-19,7831.832029555435,31396.444360089477,15729.105932213028,18361.65410973809,33.51327741736126,44.68489416453735,11.171616747176088
2018-01-20 → 2019-01-20,7831.832029555435,31396.444360089477,15782.441961476794,18515.430266103256,33.73961693237486,45.33746656508522,11.597849632710364
2018-01-21 → 2019-01-21,8608.846026879573,31396.444360089477,15838.320986993534,18584.171194985636,31.725480036998714,43.77523696109891,12.049756924100198
2018-01-22 → 2019-01-22,8608.846026879573,31396.444360089477,15890.777944238658,18618.53811534863,31.955679623976142,43.92605110070444,11.9703714767283
2018-01-23 → 2019-01-23,8608.846026879573,31396.444360089477,15942.255294832687,18686.24944706776,32.18158035226398,44.22319225059231,12.041611898328334
2018-01-24 → 2019-01-24,8608.846026879573,31396.444360089477,15993.657012582125,18732.65598332775,32.407149177016024,44.42684046126118,12.019691284245155
2018-01-25 → 2019-01-25,8608.846026879573,31396.444360089477,16046.0375068684,18788.511699995084,32.637013217624194,44.671955000540784,12.03494178291659
